parent_directory,is_file,name,size_in_bytes
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,6c,213
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,71,213
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,73,432
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,74,815
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,79,1821
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,7d,214
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,81,141
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,82,115
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,87,159
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,89,482
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,8c,390
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,8d,109
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,94,155
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,97,562
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,a2,290
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,a8,265
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,ad,2735
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,b2,384
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,c1,134
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,c3,907
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,ce,2794
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,d6,490
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,de,2104
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,e0,848
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,e5,1441
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,e6,1025
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,ed,122
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,f2,685
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,f6,651
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,f8,193
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,f9,183
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,fa,21
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,info,0
C:\Users\ÿ\Desktop\python_home_work\.git\objects,False,pack,0
C:\Users\ÿ\Desktop\python_home_work\.git\objects\09,True,c3ea30526f1c24b8134ceeb89af9b8c03343a2,193
C:\Users\ÿ\Desktop\python_home_work\.git\objects\0f,True,c32d2f8dc1873af5074763dff737dd65ecd640,48
C:\Users\ÿ\Desktop\python_home_work\.git\objects\10,True,5ce2da2d6447d11dfe32bfb846c3d5b199fc99,142
C:\Users\ÿ\Desktop\python_home_work\.git\objects\11,True,eb3a633639e57fd798dd67d025689a899f21fb,93
C:\Users\ÿ\Desktop\python_home_work\.git\objects\16,True,e99c6a771e5e2df0eb553a181f09afb6c7121f,593
C:\Users\ÿ\Desktop\python_home_work\.git\objects\17,True,0ed5795a58496451b42274de390a49ff3cbaa6,213
C:\Users\ÿ\Desktop\python_home_work\.git\objects\1e,True,5c43ed1a443642255aaea1074f600ecb4f8d68,168
C:\Users\ÿ\Desktop\python_home_work\.git\objects\20,True,85c50fa618d79f0e625eb69e1649483601d7e4,214
C:\Users\ÿ\Desktop\python_home_work\.git\objects\26,True,d33521af10bcc7fd8cea344038eaaeb78d0ef5,63
C:\Users\ÿ\Desktop\python_home_work\.git\objects\27,True,81aaf071a76ed9d8b5957264543592eff43e1e,763
C:\Users\ÿ\Desktop\python_home_work\.git\objects\2b,True,b24b972636084fead3385345db05f888bf4b26,331
C:\Users\ÿ\Desktop\python_home_work\.git\objects\2c,True,b06e3b135d1aa8ef5246ded23d766ca511c7c1,973
C:\Users\ÿ\Desktop\python_home_work\.git\objects\2d,True,4eb4dccd802ee65c23221e98bc06c9033a2328,501
C:\Users\ÿ\Desktop\python_home_work\.git\objects\36,True,eb978657864658dd6d72887ef517e04054796d,160
C:\Users\ÿ\Desktop\python_home_work\.git\objects\38,True,c63a158cc837bfe408c92cf219fca0b87c87f4,556
C:\Users\ÿ\Desktop\python_home_work\.git\objects\3c,True,fe79d00eee02b1315fa53d94d6117ca646ae2c,347
C:\Users\ÿ\Desktop\python_home_work\.git\objects\43,True,8ac6e7c09882484502aaddc8692781ccc75bb0,932
C:\Users\ÿ\Desktop\python_home_work\.git\objects\52,True,38ce9c3bf015a687c894a388d6c1f7898ffd6b,233
C:\Users\ÿ\Desktop\python_home_work\.git\objects\54,True,3582a4e0bbede9cf308c7704011bd910cfd447,501
C:\Users\ÿ\Desktop\python_home_work\.git\objects\5a,True,ac122751a3c127df67ea386342ffbf01c53724,723
C:\Users\ÿ\Desktop\python_home_work\.git\objects\5c,True,0435ef8e2ea27803c64eda2a33d73b45b7aad1,284
C:\Users\ÿ\Desktop\python_home_work\.git\objects\61,True,d5866ea58ef6f6be4b13851346d08993581d52,109
C:\Users\ÿ\Desktop\python_home_work\.git\objects\62,True,8a0844979ee95d0f0cd34e273239505b6429d8,208
C:\Users\ÿ\Desktop\python_home_work\.git\objects\62,True,c6fd4141de5992037883dbff389c3e204e3010,352
C:\Users\ÿ\Desktop\python_home_work\.git\objects\69,True,5b79bdc12d13195337445f78bc26474d571201,109
C:\Users\ÿ\Desktop\python_home_work\.git\objects\6a,True,fb5933db2e76f8c5f34aa20896c7ce1fc0fcfb,175
C:\Users\ÿ\Desktop\python_home_work\.git\objects\6c,True,ccefad494fbe97f4b9f1cba0da6502ccefcc26,213
C:\Users\ÿ\Desktop\python_home_work\.git\objects\71,True,d90346f968c31b9dfd4bb9ba6b958b9bdb2093,213
C:\Users\ÿ\Desktop\python_home_work\.git\objects\73,True,a8dc9976e88270909ad4e3a8b472a2e7219c46,432
C:\Users\ÿ\Desktop\python_home_work\.git\objects\74,True,5b0df9f4ce4943ccbab02ccea5feb8f44287d5,580
C:\Users\ÿ\Desktop\python_home_work\.git\objects\74,True,d515a027de98657e9d3d5f0f1831882fd81374,235
C:\Users\ÿ\Desktop\python_home_work\.git\objects\79,True,1e265d85648317cbcbebb53eff795ee7d3c732,1821
C:\Users\ÿ\Desktop\python_home_work\.git\objects\7d,True,2403d7bef64b780660fec1ba57cc57e061a74c,214
C:\Users\ÿ\Desktop\python_home_work\.git\objects\81,True,fd586f3d18811e41e8457709ab6613e48b8590,141
C:\Users\ÿ\Desktop\python_home_work\.git\objects\82,True,e9c71a402bd5511432497efa7c6698a1dc17de,115
C:\Users\ÿ\Desktop\python_home_work\.git\objects\87,True,fbb7b4d3677a89563e9b015f3940b5522e16f8,159
C:\Users\ÿ\Desktop\python_home_work\.git\objects\89,True,9077dc9d71b46f5e42a8ee80b43f664c2cd1b5,482
C:\Users\ÿ\Desktop\python_home_work\.git\objects\8c,True,1c56c844f67047c1ca760627076790c543dc0b,390
C:\Users\ÿ\Desktop\python_home_work\.git\objects\8d,True,66418fcc0040c7f3391cb1e0cd37fc3cb0147e,109
C:\Users\ÿ\Desktop\python_home_work\.git\objects\94,True,a25f7f4cb416c083d265558da75d457237d671,155
